ticker,name
X:GHSTUSD,Aavegotchi
X:GIGAUSD,Gigachad
X:GLMRUSD,Moonbeam
X:GLMUSD,Golem
X:GMMTUSD,Giant Mammoth
X:GMTUSD,GMT
X:GMXUSD,GMX
X:GNOUSD,Gnosis
X:GNTUSD,Golem
X:GOATUSD,GOAT
X:GODSUSD,Gods Unchained
X:GOMININGUSD,GoMining
X:GRTUSD,The Graph
X:GSTUSD,GrEarn
X:GTCUSD,Gitcoin
X:GTXUSD,Global Trading Xenocurrency
X:GUSD,Gravity
X:GUSDUSD,Gemini Dollar
X:GYENUSD,GYEN
X:HBARUSD,Hedera
X:HDXUSD,Hydration
X:HFTUSD,Hashflow
X:HIGHUSD,Highstreet
X:HILSVUSD,Airport Hotel SV
X:HIXUSD,HIX
X:HMSTRUSD,Hamster Kombat
X:HMTUSD,Human
X:HNTUSD,Helium
X:HONEYUSD,Hivemapper
X:HOPRUSD,Hopr Token
X:HTXDAOUSD,HTXDAO
X:HTXUSD,HTX DAO
X:ICEUSD,Popsicle Finance
X:ICPUSD,Internet Computer
X:ICXUSD,Icon
X:IDEXUSD,IDEX
X:IDXUSD,IDX
X:ILVUSD,Illuvium
X:IMXUSD,Immutable X
X:INDEXUSD,Index Cooperative
X:INJUSD,Injective
X:INTRUSD,Interlay
X:INVUSD,Inverse Finance
X:IOTUSD,IOTA
X:IOTXUSD,IoTeX
X:IOUSD,Io.Net
X:JASMYUSD,JasmyCoin
X:JSTUSD,JUST
X:JTOUSD,Jito
X:JUNOUSD,JUNO
X:JUPUSD,Jupiter
X:JUSTICEUSD,AssangeDAO
X:JXXUSD,JXX
X:KANUSD,BitKan
X:KARATEUSD,KARATE
X:KARRATUSD,Karrat
X:KARUSD,Karura
X:KASUSD,KAS
X:KAVAUSD,Kava
X:KEEPUSD,Keep Network
X:KEYUSD,SelfKey
X:KILTUSD,KILT Protocol
X:KINTUSD,Kintsugi
X:KINUSD,Kin
X:KMNOUSD,Kamino
X:KNCUSD,Kyber Network
X:KP3RUSD,Keep3rV1
X:KRLUSD,Kryll
X:KSMUSD,Kusama
X:KUJIUSD,Kujira
X:L3USD,Layer3
X:LCXUSD,LCX
X:LDOUSD,Lido DAO
X:LEOUSD,LEO Token
X:LIFIIIUSD,LIF3
X:LINKUSD,Chainlink
X:LITUSD,Litentry
X:LMWRUSD,LimeWire
X:LOCKINUSD,LOCKIN
X:LOKAUSD,League of Kingdoms Arena
X:LOOMUSD,Loom
X:LPTUSD,Livepeer
X:LQTYUSD,Liquity
X:LRCUSD,Loopring
X:LRDSUSD,Blocklords
X:LSETHUSD,Liquid Staked ETH
X:LSKUSD,Lisk
X:LTCUSD,Litecoin
X:LUNA2USD,Luna 2.0
X:LUNAUSD,Terra
X:LYMUSD,Lympo
X:MAGICUSD,Treasure
X:MANAUSD,Decentraland
X:MANEKIUSD,MANEKI
X:MASKUSD,Mask Network
X:MATHUSD,MathChain
X:MATICUSD,Polygon
X:MCO2USD,Moss Carbon Credit
X:MCUSD,Merit Circle
X:MDTUSD,Measurable Data Token
X:MEDIAUSD,Media Network
X:MELANIAUSD,MELANIA
X:MEMEUSD,Memeverse
X:METISUSD,Metis
X:MEUSD,Magic Eden
X:MEWUSD,Mew
X:MICHIUSD,MICHI
X:MIMUSD,MIM
X:MINAUSD,Mina Protocol
X:MIRUSD,Mirror Protocol
X:MKRUSD,Maker
X:MLNUSD,Melon
X:MNAUSD,MNA Coin
X:MNDEUSD,Marinade
X:MNGOUSD,Mango
X:MNTUSD,Mantle
